CPI,year
172.19999999999996,2000
177.0666666666667,2001
179.875,2002
183.95833333333334,2003
188.88333333333335,2004
195.29166666666666,2005
201.5916666666667,2006
207.3424166666667,2007
215.3025,2008
214.537,2009
218.05550000000002,2010
224.93916666666667,2011
229.5939166666667,2012
232.95708333333332,2013
236.73616666666666,2014
237.01700000000002,2015
240.00716666666665,2016
245.11958333333334,2017
251.10683333333338,2018
255.65741666666668,2019
258.8111666666667,2020
270.96975000000003,2021
292.6549166666667,2022
304.7015833333333,2023
312.14450000000005,2024